singer,singerLabel,date_of_birth,place_of_birth,place_of_birthLabel,sex_or_gender,sex_or_genderLabel,image,social_media_followers
http://www.wikidata.org/entity/Q303,Elvis Presley,1935-01-08T00:00:00Z,http://www.wikidata.org/entity/Q667727,Tupelo,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Elvis%20Presley%20promoting%20Jailhouse%20Rock.jpg,348519
http://www.wikidata.org/entity/Q392,Bob Dylan,1941-05-24T00:00:00Z,http://www.wikidata.org/entity/Q485708,Duluth,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Joan%20Baez%20Bob%20Dylan%20crop.jpg,428462
http://www.wikidata.org/entity/Q633,Neil Young,1945-11-12T00:00:00Z,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Neil%20Young%20Stavernfestivalen%202016%20%28220929%29.jpg,83016
http://www.wikidata.org/entity/Q633,Neil Young,1945-11-12T00:00:00Z,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Neil%20Young%20Stavernfestivalen%202016%20%28220929%29.jpg,468995
http://www.wikidata.org/entity/Q714,Stevie Wonder,1950-05-13T00:00:00Z,http://www.wikidata.org/entity/Q719,Saginaw,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Stevie%20Wonder%201973.JPG,161088
http://www.wikidata.org/entity/Q714,Stevie Wonder,1950-05-13T00:00:00Z,http://www.wikidata.org/entity/Q719,Saginaw,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Stevie%20Wonder%201973.JPG,1180000
http://www.wikidata.org/entity/Q1225,Bruce Springsteen,1949-09-23T00:00:00Z,http://www.wikidata.org/entity/Q995231,Long Branch,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Bruce%20Springsteen%20-%20Roskilde%20Festival%202012.jpg,1351355
http://www.wikidata.org/entity/Q1225,Bruce Springsteen,1949-09-23T00:00:00Z,http://www.wikidata.org/entity/Q995231,Long Branch,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Bruce%20Springsteen%20-%20Roskilde%20Festival%202012.jpg,2010000
http://www.wikidata.org/entity/Q1450,Bruno Mars,1985-10-08T00:00:00Z,http://www.wikidata.org/entity/Q18094,Honolulu,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Bruno%20Mars%20b%26w%20%28cropped%29.jpg,36200000
http://www.wikidata.org/entity/Q1450,Bruno Mars,1985-10-08T00:00:00Z,http://www.wikidata.org/entity/Q18094,Honolulu,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Bruno%20Mars%20b%26w%20%28cropped%29.jpg,43131551
http://www.wikidata.org/entity/Q1514,Janis Joplin,1943-01-19T00:00:00Z,http://www.wikidata.org/entity/Q45400,Port Arthur,http://www.wikidata.org/entity/Q6581072,female,http://commons.wikimedia.org/wiki/Special:FilePath/Janis%20Joplin%201970.JPG,78461
http://www.wikidata.org/entity/Q1545,Cyndi Lauper,1953-06-22T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,http://www.wikidata.org/entity/Q6581072,female,http://commons.wikimedia.org/wiki/Special:FilePath/CyndiLauper2022.jpg,398719
http://www.wikidata.org/entity/Q1545,Cyndi Lauper,1953-06-22T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,http://www.wikidata.org/entity/Q6581072,female,http://commons.wikimedia.org/wiki/Special:FilePath/CyndiLauper2022.jpg,2740000
http://www.wikidata.org/entity/Q1744,Madonna,1958-08-16T00:00:00Z,http://www.wikidata.org/entity/Q746820,Bay City,http://www.wikidata.org/entity/Q6581072,female,http://commons.wikimedia.org/wiki/Special:FilePath/Madonna%20Rebel%20Heart%20Tour%202015%20-%20Stockholm%20%2823051472299%29%20%28cropped%29.jpg,2821893
http://www.wikidata.org/entity/Q1768,Ella Fitzgerald,1917-04-25T00:00:00Z,http://www.wikidata.org/entity/Q335017,Newport News,http://www.wikidata.org/entity/Q6581072,female,http://commons.wikimedia.org/wiki/Special:FilePath/Ella%20Fitzgerald%201962.JPG,234000
http://www.wikidata.org/entity/Q1779,Louis Armstrong,1901-08-04T00:00:00Z,http://www.wikidata.org/entity/Q34404,New Orleans,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20Armstrong%20restored.jpg,24970
http://www.wikidata.org/entity/Q1779,Louis Armstrong,1901-08-04T00:00:00Z,http://www.wikidata.org/entity/Q34404,New Orleans,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20Armstrong%20restored.jpg,327000
http://www.wikidata.org/entity/Q2274,Chet Baker,1929-12-23T00:00:00Z,http://www.wikidata.org/entity/Q2846167,Yale,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Chet%20Baker%20%281929%E2%80%931988%29.jpg,82100
http://www.wikidata.org/entity/Q2709,Sasha Grey,1988-03-14T00:00:00Z,http://www.wikidata.org/entity/Q530920,North Highlands,http://www.wikidata.org/entity/Q6581072,female,http://commons.wikimedia.org/wiki/Special:FilePath/Sasha%20Grey%202010.jpg,485000
http://www.wikidata.org/entity/Q2709,Sasha Grey,1988-03-14T00:00:00Z,http://www.wikidata.org/entity/Q530920,North Highlands,http://www.wikidata.org/entity/Q6581072,female,http://commons.wikimedia.org/wiki/Special:FilePath/Sasha%20Grey%202010.jpg,1582270
http://www.wikidata.org/entity/Q2831,Michael Jackson,1958-08-29T00:00:00Z,http://www.wikidata.org/entity/Q184116,Gary,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Jackson%20Dangerous%20World%20Tour%201993.jpg,31840
http://www.wikidata.org/entity/Q2831,Michael Jackson,1958-08-29T00:00:00Z,http://www.wikidata.org/entity/Q184116,Gary,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Jackson%20Dangerous%20World%20Tour%201993.jpg,2352283
http://www.wikidata.org/entity/Q2831,Michael Jackson,1958-08-29T00:00:00Z,http://www.wikidata.org/entity/Q184116,Gary,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Jackson%20Dangerous%20World%20Tour%201993.jpg,27300000
http://www.wikidata.org/entity/Q4028,Paul Simon,1941-10-13T00:00:00Z,http://www.wikidata.org/entity/Q25395,Newark,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Simon%202007.jpg,55124
http://www.wikidata.org/entity/Q4028,Paul Simon,1941-10-13T00:00:00Z,http://www.wikidata.org/entity/Q25395,Newark,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Simon%202007.jpg,458000
http://www.wikidata.org/entity/Q4028,Paul Simon,1941-10-13T00:00:00Z,http://www.wikidata.org/entity/Q25395,Newark,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Simon%20at%20the%209-30%20Club%20%28b%29.jpg,55124
http://www.wikidata.org/entity/Q4028,Paul Simon,1941-10-13T00:00:00Z,http://www.wikidata.org/entity/Q25395,Newark,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Simon%20at%20the%209-30%20Club%20%28b%29.jpg,458000
